24.30,961.29,1,441.96
24.30,961.25,1,441.44
24.30,961.30,1,442.05
24.30,961.27,1,441.79
24.30,961.33,1,441.87
24.20,961.30,1,441.53
24.20,961.28,0,441.70
24.20,961.27,1,441.79
24.30,961.33,1,441.53
24.30,961.31,0,441.70
24.30,961.31,1,441.87
24.30,961.30,1,442.31
24.20,961.29,0,441.96
24.20,961.31,0,441.87
24.20,961.33,1,441.96
24.30,961.16,1,442.48
24.40,961.29,1,442.05
24.40,961.24,1,442.31
24.30,961.29,1,442.05
24.30,961.19,1,442.65
24.30,961.25,1,441.70
24.30,961.15,0,442.57
24.30,961.21,1,442.74
24.30,961.21,1,442.48
24.30,961.15,1,443.09
24.30,961.18,1,442.65
24.30,961.17,0,442.48
24.30,961.18,1,442.39
24.30,961.16,1,442.65
24.30,961.19,1,442.65
24.40,961.20,0,442.39
24.40,961.27,0,442.05
24.40,961.21,0,442.74
24.40,961.25,1,442.05
24.40,961.16,0,442.74
24.40,961.27,0,441.96
24.40,961.21,1,442.13
24.50,961.26,1,442.39
24.50,961.21,1,442.48
24.50,961.20,1,442.39
24.50,961.23,1,442.22
24.50,961.15,0,442.31
24.50,961.25,0,442.13
24.50,961.19,1,442.22
24.50,961.20,1,442.39
24.60,961.27,0,442.48
24.60,961.28,0,441.96
24.60,961.26,0,441.44
26.50,961.05,1,444.31
26.50,961.04,1,443.96
26.50,960.98,0,444.22
26.60,961.00,1,444.66
26.60,961.05,0,444.13
26.60,960.98,1,444.31
26.60,960.99,0,443.87
26.60,961.06,1,443.70
26.60,961.02,0,443.96
26.70,960.95,1,445.00
26.70,960.93,1,444.57
26.80,960.97,0,444.31
26.80,960.96,0,444.57
26.80,961.00,0,444.04
26.80,961.01,0,444.48
26.80,960.96,0,443.87
26.80,960.85,0,444.74
26.80,960.97,0,444.48
26.80,961.02,0,444.57
26.80,961.04,0,444.83
26.80,961.01,0,444.31
26.80,960.93,0,444.31
26.80,960.96,0,444.66
26.80,960.96,0,445.00
26.80,960.99,0,445.18
26.80,960.94,0,444.48
26.80,960.91,0,444.57
26.80,960.98,0,444.57
26.90,960.97,0,444.57
26.90,960.92,0,445.44
26.90,960.95,0,444.48
26.90,960.91,0,444.48
26.90,960.95,0,444.48
26.90,961.00,0,444.48
26.90,960.94,0,445.09
26.90,960.98,0,444.66
26.90,960.95,0,444.57
26.90,960.95,0,444.66
26.90,960.94,0,444.48
26.90,960.97,0,445.09
26.90,960.96,0,443.96
27.00,960.92,0,445.00
27.40,960.66,1,446.91
27.30,960.67,0,447.09
27.30,960.64,0,446.91
27.30,960.64,0,447.18
